"电影名","年份","国别"
"裹尸布 / The Shrouds","2024","法国 / 加拿大"
"超人 / Superman","2025","美国"
"恋马狂 / Equus","1977","美国 / 英国"
"侏罗纪世界：重生 / Jurassic World: Rebirth","2025","美国"
"南巫","2020","马来西亚"
"双姝奇缘 / 4 aventures de Reinette et Mirabelle","1987","法国"
"李文漫游东湖","2015","中国大陆"
"铁血战士：杀戮之王 / Predator: Killer of Killers","2025","美国"
"红气球 / Le ballon rouge","1956","法国"
"困兽 / Fauve","2018","加拿大"
"爱，死亡和机器人 第四季 / Love, Death & Robots Season 4","2025","美国"
"竖笛考试 / 리코더 시험","2011","韩国"
"功之怒 / Kung Fury","2015","瑞典"
"碟中谍8：最终清算 / Mission: Impossible - The Final Reckoning","2025","美国"
"天堂的双子 / Twins in Paradise","2020","美国"
"人生切割术 第二季 / Severance Season 2","2025","美国"
"我的世界大电影 / A Minecraft Movie","2025","美国 / 瑞典"
"为你写上乔治亚 / 조지아","2020","韩国 / 美国 / 加拿大"
"鲶鱼人 / Hito","2023","菲律宾"
"Las voces del despeñadero","2025","墨西哥"
"Lanawaru","2024","哥伦比亚 / 墨西哥"
"平原上的火焰","2021","中国大陆"
"盒子的另一边 / Other Side of the Box","2018","美国"
"便衣警察 / Plainclothes","2025","美国 / 英国"
"异教徒 / Heretic","2024","美国 / 加拿大"
"混沌少年时 第一季 / Adolescence Season 1","2025","英国"
"怪猴 / The Monkey","2025","美国 / 英国 / 加拿大"
"奸臣 / 간신","2015","韩国"
"阿诺拉 / Anora","2024","美国"
"猫猫的奇幻漂流 / Straume","2024","拉脱维亚 / 法国 / 比利时"
"杀死福顺 / 길복순","2023","韩国"
"编号17 / Mickey 17","2025","美国 / 韩国"
"暗流 / Les rivières pourpres","2000","法国"
"乡下人 第一季 / The Boondocks Season 1","2005","美国"
"完美伴侣 / Companion","2025","美国"
"花样年华 / 花樣年華","2000","中国香港"
"美国队长4 / Captain America: Brave New World","2025","美国"
"诺斯费拉图 / Nosferatu","2024","美国 / 英国 / 匈牙利"
"东城梦魇 第一季 / Mare of Easttown Season 1","2021","美国"
"唐探1900","2025","中国大陆 / 中国香港"
"极地恶灵 第一季 / The Terror Season 1","2018","美国"
"怖谷鸟 / Cuckoo","2024","德国 / 美国"
"逍遥骑士 / Easy Rider","1969","美国"
"金玉盟 / An Affair to Remember","1957","美国"
"湖上女郎 / La donna del lago","1965","意大利"
"第九道门 / The Ninth Gate","1999","法国 / 西班牙 / 美国"
"天使与魔鬼 / Angels & Demons","2009","美国 / 意大利"
"悬崖上的野餐 / Picnic at Hanging Rock","1975","澳大利亚"
"原钻 / Uncut Gems","2019","美国"
"名侦探柯南：迷宫的十字路口 / 名探偵コナン 迷宮の十字路","2003","日本"
"荧屏在发光 / I Saw the TV Glow","2024","美国"
"人狼","1999","日本"
"波提切利，佛罗伦萨和美第奇家族 / Botticelli, Florence And The Medici","2021","意大利"
"猎人克莱文 / Kraven the Hunter","2024","美国 / 冰岛 / 加拿大 / 英国"
"破·地狱 / 破·地獄","2024","中国香港"
"生物突击队 第一季 / Creature Commandos Season 1","2024","美国"
"雄狮少年2","2024","中国大陆"
"如父如子 / そして父になる","2013","日本"
"瑟堡的雨伞 / Les parapluies de Cherbourg","1964","法国 / 西德"
"危笑2 / Smile 2","2024","美国 / 加拿大"
"好东西","2024","中国大陆"
"角斗士 / Gladiator","2000","美国 / 英国 / 马耳他 / 摩洛哥"
"动物 / ANIMALS‐アニマルズ‐","2022","日本"
"生人勿进 / Låt den rätte komma in","2008","瑞典"
"风流一代","2024","中国大陆"
"完美的日子 / Perfect Days","2023","日本 / 德国"
"最后的里程 / ラストマイル","2024","日本"
"女人世界","2024","中国大陆"
"凶兆 / The Omen","1976","英国 / 美国"
"娑婆诃 / 사바하","2019","韩国"
"蓦然回首 / ルックバック","2024","日本"
"毒液：最后一舞 / Venom: The Last Dance","2024","美国"
"小丑2：双重妄想 / Joker: Folie à Deux","2024","美国 / 加拿大"
"机器人嘉年华 / ロボットカーニバル","1987","日本"
"企鹅人 第一季 / The Penguin Season 1","2024","美国"
"小丑 / Joker","2019","美国 / 加拿大"
"甜蜜的东方 / The Sweet East","2023","美国"
"怪房客 / Le locataire","1976","法国"
"里斯本丸沉没","2023","中国大陆"
"恰逢其时 / Juste le temps","1983","法国"
"驱魔人 / The Exorcist","1973","美国"
"睡梦医生 / Doctor Sleep","2019","美国 / 英国"
"魔鬼深夜秀 / Late Night with the Devil","2023","澳大利亚 / 美国 / 阿联酋"
"菊次郎的夏天 / 菊次郎の夏","1999","日本"
"长腿 / Longlegs","2024","美国"
"收件人不详 / 수취인불명","2001","韩国"
"圣殇 / 피에타","2012","韩国"
"空房间 / 빈집","2004","韩国 / 日本"
"异形：夺命舰 / Alien: Romulus","2024","美国 / 英国"
"错过你的那些年 / 青春18×2 君へと続く道","2024","中国台湾 / 日本"
"蒂凡尼的早餐 / Breakfast at Tiffany's","1961","美国"
"从21世纪安全撤离","2024","中国大陆"
"白蛇：浮生","2024","中国大陆"
"爱在午夜降临前 / Before Midnight","2013","美国 / 希腊"
"斯托克 / Stoker","2013","美国 / 英国"
"冬天的故事 / Conte d'hiver","1992","法国"
"人生切割术 第一季 / Severance Season 1","2022","美国"
"秋天的故事 / Conte d'automne","1998","法国"
"走走停停","2024","中国大陆"
"死侍与金刚狼 / Deadpool & Wolverine","2024","美国"
"悲伤的贝拉多娜 / 哀しみのベラドンナ","1973","日本"
"亲爱的格洛莉亚 / Àma Gloria","2023","法国"
"局外人 / The Outsider","2020","美国"
"十字路口的猪 / Pig at the Crossing","2024","不丹"
"无名女尸 / The Autopsy of Jane Doe","2016","英国"
"险恶 / Sinister","2012","美国"
"神偷奶爸4 / Despicable Me 4","2024","美国"
"幕府将军 第一季 / Shōgun Season 1","2024","美国"
"玛丽娜·阿布拉莫维奇：艺术家在场 / Marina Abramović: The Artist Is Present","2012","美国"
"南山的部长们 / 남산의 부장들","2020","韩国"
"首尔之春 / 서울의 봄","2023","韩国"
"狗镇 / Dogville","2003","丹麦 / 瑞典 / 挪威 / 芬兰 / 英国 / 法国 / 德国 / 荷兰 / 意大利"
"燃烧 / 버닝","2018","韩国"
"头脑特工队2 / Inside Out 2","2024","美国"
"九龙城寨之围城 / 九龍城寨·圍城","2024","中国香港 / 中国大陆"
"午夜巴塞罗那 / Vicky Cristina Barcelona","2008","西班牙 / 美国"
"香水 / Perfume: The Story of a Murderer","2006","德国 / 法国 / 西班牙 / 美国 / 比利时"
"超能敢死队：冰封之城 / Ghostbusters: Frozen Empire","2024","美国 / 加拿大"
"自己去看 / Иди и смотри","1985","苏联"
"亡命驾驶 / Drive","2011","美国"
"棋王","1991","中国香港"
"初吻 / La boum","1980","法国"
"我们一起摇太阳","2024","中国大陆 / 中国香港"
"美国内战 / Civil War","2024","美国 / 英国 / 芬兰"
"特技狂人 / The Fall Guy","2024","美国"
"大师 / The Master","2012","美国"
"鬼子来了","2000","中国大陆"
"鸟人 / Birdman or (The Unexpected Virtue of Ignorance)","2014","美国 / 墨西哥"
"男人 / Men","2022","英国"
"猩球崛起：新世界 / Kingdom of the Planet of the Apes","2024","美国"
"白塔之光","2023","中国大陆"
"海的沉默 / Le silence de la mer","1949","法国"
"哥斯拉-1.0 / ゴジラ-1.0","2023","日本"
"洛丽塔 / Lolita","1962","美国 / 英国"
"第二十条","2024","中国大陆"
"伴侣","2022","中国大陆"
"绝望主妇计划","2023","中国大陆"
"无处可依","2022","中国大陆"
"造梦之家 / The Fabelmans","2022","美国"
"破墓 / 파묘","2024","韩国"
"年少日记 / 年少日記","2023","中国香港"
"两小无猜 / Melody","1971","英国"
"香草的天空 / Vanilla Sky","2001","美国 / 西班牙"
"功夫熊猫4 / Kung Fu Panda 4","2024","美国 / 中国大陆"
"法式火锅 / La Passion de Dodin Bouffant","2023","法国 / 比利时"
"十二猴子 / Twelve Monkeys","1995","美国"
"冥王星早餐 / Breakfast on Pluto","2005","爱尔兰 / 英国"
"珍珠港 / Pearl Harbor","2001","美国"
"利益区域 / The Zone of Interest","2023","美国 / 英国 / 波兰"
"你想活出怎样的人生 / 君たちはどう生きるか","2023","日本"
"哥斯拉大战金刚2：帝国崛起 / Godzilla x Kong: The New Empire","2024","美国 / 澳大利亚"
"温蒂妮 / Undine","2020","德国 / 法国"
"三体 第一季 / 3 Body Problem Season 1","2024","美国 / 中国大陆 / 英国"
"赎罪 / Atonement","2007","英国 / 法国"
"枯叶 / Kuolleet lehdet","2023","芬兰"
"廊桥遗梦 / The Bridges of Madison County","1995","美国"
"马耳他之鹰 / The Maltese Falcon","1941","美国"
"独家新闻 / Scoop","2006","英国 / 美国"
"怪物","2023","日本"
"唯爱永生 / Only Lovers Left Alive","2013","英国 / 德国 / 希腊 / 法国"
"红色天空 / Roter Himmel","2023","德国"
