"电影名","年份","国别"
"灯塔 / The Lighthouse","2019","加拿大 / 美国 / 巴西"
"俄罗斯方块 / Tetris","2023","英国 / 美国"
"神枪手之死 / The Assassination of Jesse James by the Coward Robert Ford","2007","美国 / 加拿大 / 英国"
"新小屁孩日记 / Diary of a Wimpy Kid: The Long Haul","2017","美国"
"月光男孩 / Moonlight","2016","美国"
"至爱梵高·星空之谜 / Loving Vincent","2017","英国 / 波兰"
"女巫 / The VVitch: A New-England Folktale","2015","美国 / 英国 / 加拿大 / 巴西"
"魔鬼代言人 / The Devil's Advocate","1997","美国"
"捉鬼敢死队 / Ghostbusters","1984","美国"
"大白鲨 / Jaws","1975","美国"
"不可饶恕 / Unforgiven","1992","美国"
"钢的琴","2010","中国大陆"
"独行侠 / The Lone Ranger","2013","美国"
"后翼弃兵 / The Queen's Gambit","2020","美国"
"无人区","2013","中国大陆"
"盗火线 / Heat","1995","美国"
"一个叫欧维的男人决定去死 / En man som heter Ove","2015","瑞典"
"南京！南京！","2009","中国大陆 / 中国香港"
"豪勇七蛟龙 / The Magnificent Seven","2016","美国 / 澳大利亚"
"星条红与皇室蓝 / Red, White & Royal Blue","2023","美国"
"搜索","2012","中国大陆"
"僵尸肖恩 / Shaun of the Dead","2004","英国 / 法国 / 美国"
"火山挚恋 / Fire of Love","2022","美国 / 加拿大"
"Soho区惊魂夜 / Last Night in Soho","2021","英国"
"红高粱","1988","中国大陆"
"决战犹马镇 / 3:10 to Yuma","2007","美国"
"江湖儿女","2018","中国大陆 / 法国 / 日本"
"美国往事 / Once Upon a Time in America","1984","美国 / 意大利"
"发条橙 / A Clockwork Orange","1971","英国 / 美国"
"外星也难民 第四季 / Solar Opposites Season 4","2023","美国"
"情书 / Love Letter","1995","日本"
"倩女幽魂","1987","中国香港"
"触不可及 / Intouchables","2011","法国"
"全金属外壳 / Full Metal Jacket","1987","英国 / 美国"
"蓝色大门 / 藍色大門","2002","中国台湾 / 法国"
"赴汤蹈火 / Hell or High Water","2016","美国"
"罗曼蒂克消亡史","2016","中国大陆 / 中国香港"
"活着","1994","中国大陆 / 中国香港"
"音乐之声 / The Sound of Music","1965","美国"
"万物理论 / The Theory of Everything","2014","英国 / 日本 / 美国"
"无名之辈","2018","中国大陆"
"钢琴家 / The Pianist","2002","英国 / 法国 / 波兰 / 德国 / 美国"
"偷拐抢骗 / Snatch","2000","英国 / 美国"
"心理游戏 / The Game","1997","美国"
"影子大亨 / The Hudsucker Proxy","1994","英国 / 德国 / 美国"
"超脱 / Detachment","2011","美国"
"功夫瑜伽","2017","中国大陆 / 印度"
"孤注一掷","2023","中国大陆"
"不能说的秘密 / 不能說的·祕密","2007","中国香港 / 中国台湾"
"荒野猎人 / The Revenant","2015","美国 / 中国香港 / 中国台湾"
"热血警探 / Hot Fuzz","2007","英国 / 法国 / 美国"
"黄海 / 황해","2010","韩国 / 美国 / 中国香港"
"土拨鼠之日 / Groundhog Day","1993","美国"
"白莲花度假村 第一季 / The White Lotus Season 1","2021","美国"
"魔法师的学徒 / The Sorcerer's Apprentice","2010","美国"
"波西·杰克逊与魔兽之海 / Percy Jackson: Sea of Monsters","2013","美国"
"波西·杰克逊与神火之盗 / Percy Jackson & the Olympians: The Lightning Thief","2010","英国 / 加拿大 / 美国"
"壮志凌云 / Top Gun","1986","美国"
"巨齿鲨2：深渊 / Meg 2: The Trench","2023","美国 / 中国大陆"
"辛德勒的名单 / Schindler's List","1993","美国"
"米勒的十字路口 / Miller's Crossing","1990","美国"
"饮食男女 / 飲食男女","1994","中国台湾 / 美国"
"花束般的恋爱 / 花束みたいな恋をした","2021","日本"
"喜宴 / 囍宴","1993","中国台湾 / 美国"
"爱丽丝梦游仙境2：镜中奇遇记 / Alice Through the Looking Glass","2016","美国 / 英国"
"国王的演讲 / The King's Speech","2010","美国 / 英国"
"珀尔 / Pearl","2022","新西兰 / 美国"
"催眠大师","2014","中国大陆"
"抚养亚利桑纳 / Raising Arizona","1987","美国"
"雨果 / Hugo","2011","英国 / 美国 / 法国"
"悟空传","2017","中国大陆"
"九层妖塔","2015","中国大陆"
"狄仁杰之神都龙王","2013","中国大陆 / 中国香港"
"小屁孩日记3 / Diary of a Wimpy Kid: Dog Days","2012","美国 / 加拿大"
"小屁孩日记2 / Diary of a Wimpy Kid: Rodrick Rules","2011","美国"
"小屁孩日记 / Diary of a Wimpy Kid","2010","美国"
"中国合伙人","2013","中国大陆 / 中国香港"
"夜访吸血鬼 / Interview with the Vampire: The Vampire Chronicles","1994","美国"
"捉妖记2","2018","中国大陆 / 中国香港"
"煎饼侠","2015","中国大陆"
"甜蜜蜜","1996","中国香港"
"巴黎，我爱你 / Paris, je t'aime","2006","法国 / 列支敦士登 / 瑞士 / 德国 / 美国"
"马戏之王 / The Greatest Showman","2017","美国"
"心灵捕手 / Good Will Hunting","1997","美国"
"芭比 / Barbie","2023","美国 / 英国"
"血迷宫 / Blood Simple","1984","美国"
"时间旅行者的妻子 / The Time Traveler's Wife","2009","美国"
"谍影重重 / The Bourne Identity","2002","美国 / 德国 / 捷克"
"巴顿·芬克 / Barton Fink","1991","美国 / 英国"
"断背山 / Brokeback Mountain","2005","美国 / 加拿大"
"逃狱三王 / O Brother, Where Art Thou?","2000","英国 / 法国 / 美国"
"星球大战9：天行者崛起 / Star Wars: The Rise of Skywalker","2019","美国"
"魔女嘉莉 / Carrie","1976","美国"
"小行星城 / Asteroid City","2023","美国"
"星球大战8：最后的绝地武士 / Star Wars: The Last Jedi","2017","美国"
"醉乡民谣 / Inside Llewyn Davis","2013","美国 / 英国 / 法国"
"星球大战7：原力觉醒 / Star Wars: The Force Awakens","2015","美国"
"死亡诗社 / Dead Poets Society","1989","美国"
"封神第一部：朝歌风云","2023","中国大陆"
"阅后即焚 / Burn After Reading","2008","美国 / 英国 / 法国"
"星球大战前传3：西斯的反击 / Star Wars: Episode III - Revenge of the Sith","2005","美国"
"一次短暂的分歧 / A Brief Disagreement","2022","英国"
"心花路放","2014","中国大陆"
"星球大战前传2：克隆人的进攻 / Star Wars: Episode II - Attack of the Clones","2002","美国"
"未麻的部屋 / Perfect Blue","1997","日本"
"千年女优 / 千年女優","2001","日本"
"星球大战前传1：幽灵的威胁 / Star Wars: Episode I - The Phantom Menace","1999","美国"
"碟中谍7：致命清算 / Mission: Impossible – Dead Reckoning Part One","2023","美国"
"东京教父 / 東京ゴッドファーザーズ","2003","日本"
"星球大战3：绝地归来 / Star Wars: Episode VI - Return of the Jedi","1983","美国"
"巴斯特·斯克鲁格斯的歌谣 / The Ballad of Buster Scruggs","2018","美国"
"星球大战2：帝国反击战 / Star Wars: Episode V - The Empire Strikes Back","1980","美国"
"红辣椒 / パプリカ","2006","日本"
"老无所依 / No Country for Old Men","2007","美国"
"星球大战 / Star Wars","1977","美国"
"杀手没有假期 / In Bruges","2008","英国 / 美国"
"集结号","2007","中国大陆 / 中国香港"
"疤面煞星 / Scarface","1983","美国"
"银河护卫队3 / Guardians of the Galaxy Vol. 3","2023","美国"
"银翼杀手 / Blade Runner","1982","美国 / 英国 / 中国香港"
"一步之遥","2014","中国大陆 / 美国 / 中国香港"
"长安三万里","2023","中国大陆"
"阿丽塔：战斗天使 / Alita: Battle Angel","2019","美国 / 日本 / 加拿大"
"兔子暴力","2020","中国大陆"
"大护法","2017","中国大陆"
"谋杀绿脚趾 / The Big Lebowski","1998","美国 / 英国"
"风声","2009","中国大陆"
"迷魂记 / Vertigo","1958","美国"
"大地惊雷 / True Grit","2010","美国"
"万箭穿心","2012","中国大陆"
"阳光灿烂的日子","1994","中国大陆 / 中国香港"
"午夜弥撒 / Midnight Mass","2021","美国"
"夺宝奇兵5：命运转盘 / Indiana Jones and the Dial of Destiny","2023","美国"
"地心引力 / Gravity","2013","英国 / 美国 / 墨西哥"
"无间道 / 無間道","2002","中国香港"
"夺宝奇兵4 / Indiana Jones and the Kingdom of the Crystal Skull","2008","美国"
"恋恋笔记本 / The Notebook","2004","美国"
"破·局","2017","中国大陆"
"天下无贼","2004","中国大陆 / 中国香港"
"夺宝奇兵3 / Indiana Jones and the Last Crusade","1989","美国"
"最后的武士 / The Last Samurai","2003","美国 / 新西兰 / 日本"
"大明劫","2013","中国大陆"
"重返地球 / After Earth","2013","美国"
"第六感 / The Sixth Sense","1999","美国"
"手机","2003","中国大陆"
"夺宝奇兵2 / Indiana Jones and the Temple of Doom","1984","美国"
"神探","2007","中国香港"
"燃情岁月 / Legends of the Fall","1994","美国"
"夺宝奇兵 / Raiders of the Lost Ark","1981","美国"
"吸血鬼生活 / What We Do in the Shadows","2014","新西兰 / 美国"
"蜡笔小新：梦境世界大突击 / クレヨンしんちゃん 爆睡!ユメミーワールド大突撃","2016","日本"
"危情十日 / Misery","1990","美国"
"我的错误 / Culpa mía","2023","西班牙"
"瑞士军刀男 / Swiss Army Man","2016","美国"
"本杰明·巴顿奇事 / The Curious Case of Benjamin Button","2008","美国"
"黑鹰坠落 / Black Hawk Down","2001","美国 / 英国"
"狄仁杰之四大天王","2018","中国大陆 / 中国香港"
"闪电侠 / The Flash","2023","美国 / 加拿大 / 澳大利亚 / 新西兰"
"漫长的季节","2023","中国大陆"
"大腕","2001","中国大陆 / 中国香港"
"大鱼 / Big Fish","2003","美国"
"怪兽屋 / Monster House","2006","美国"
"小鸡快跑 / Chicken Run","2000","英国 / 美国 / 法国"
"乐高幻影忍者大电影 / The Lego Ninjago Movie","2017","美国 / 丹麦"
"八佰","2020","中国大陆"
"勇敢的心 / Braveheart","1995","美国"
"两杆大烟枪 / Lock, Stock and Two Smoking Barrels","1998","英国"
"投名状","2007","中国大陆 / 中国香港"
"战狼","2015","中国大陆"
"战狼2","2017","中国大陆"
"冰血暴 / Fargo","1996","美国 / 英国"
"勇敢者的游戏 / Jumanji","1995","美国"
"一九四二","2012","中国大陆"
"荒岛余生 / Cast Away","2000","美国"
"一一","2000","中国台湾 / 日本"
"酒精计划 / Druk","2020","丹麦 / 瑞典 / 荷兰"
"蜘蛛侠：纵横宇宙 / Spider-Man: Across the Spider-Verse","2023","美国"
"2001太空漫游 / 2001: A Space Odyssey","1968","英国 / 美国"
"无问西东","2018","中国大陆"
"天才瑞普利 / The Talented Mr. Ripley","1999","美国"
"战争之王 / Lord of War","2005","美国 / 德国"
"大侦探福尔摩斯2：诡影游戏 / Sherlock Holmes: A Game of Shadows","2011","美国"
"寻龙诀","2015","中国大陆 / 中国香港"
"阿甘正传 / Forrest Gump","1994","美国"
"降临 / Arrival","2016","美国 / 加拿大"
"疾速追杀4 / John Wick: Chapter 4","2023","美国"
"末路狂花 / Thelma & Louise","1991","美国 / 英国 / 法国"
"爱跃星空 / Entergalactic","2022","美国 / 英国"
"白蛇：缘起","2019","中国大陆 / 美国"
"雨中曲 / Singin' in the Rain","1952","美国"
"宇宙探索编辑部","2021","中国大陆"
"碟中谍6：全面瓦解 / Mission: Impossible - Fallout","2018","美国 / 中国大陆 / 法国 / 挪威 / 英国"
"龙与地下城：侠盗荣耀 / Dungeons & Dragons: Honor Among Thieves","2023","美国 / 加拿大"
"大鱼海棠","2016","中国大陆"
"雷霆沙赞！众神之怒 / Shazam! Fury of the Gods","2023","美国"
"达拉斯买家俱乐部 / Dallas Buyers Club","2013","美国"
"楚门的世界 / The Truman Show","1998","美国"
"蚁人与黄蜂女：量子狂潮 / Ant-Man and the Wasp: Quantumania","2023","美国"
"水形物语 / The Shape of Water","2017","美国 / 墨西哥"
"无名","2023","中国大陆"
"女主角 / Leading Lady Parts","2018","英国"
"碟中谍5：神秘国度 / Mission: Impossible - Rogue Nation","2015","美国 / 中国大陆 / 奥地利 / 英国 / 摩洛哥"
"大侦探福尔摩斯 / Sherlock Holmes","2009","美国 / 德国 / 英国 / 澳大利亚"
"碟中谍4 / Mission: Impossible - Ghost Protocol","2011","美国"
"师父","2015","中国大陆"
"爆裂鼓手 / Whiplash","2014","美国"
"铃芽之旅 / すずめの戸締まり","2022","日本"
"鼠国流浪记 / Flushed Away","2006","英国 / 美国"
"抢劫坚果店 / The Nut Job","2014","加拿大 / 韩国 / 美国"
"深海","2023","中国大陆"
"碟中谍3 / Mission: Impossible III","2006","美国 / 德国 / 中国大陆 / 意大利"
"一级恐惧 / Primal Fear","1996","美国"
"绿里奇迹 / The Green Mile","1999","美国"
"夏日友晴天 / Luca","2021","美国"
"消失的爱人 / Gone Girl","2014","美国"
"魔法满屋 / Encanto","2021","美国"
"时空恋旅人 / About Time","2013","英国 / 美国"
"穿靴子的猫2 / Puss in Boots: The Last Wish","2022","美国"
"碟中谍2 / Mission: Impossible II","2000","美国 / 德国"
"美国精神病人 / American Psycho","2000","美国 / 加拿大"
"巴比伦 / Babylon","2022","美国"
"碟中谍 / Mission: Impossible","1996","美国"
"骨及所有 / Bones and All","2022","意大利 / 美国"
"致命ID / Identity","2003","美国"
"黑豹2 / Black Panther: Wakanda Forever","2022","美国"
"流浪地球2","2023","中国大陆"
"比利·林恩的中场战事 / Billy Lynn's Long Halftime Walk","2016","美国 / 英国 / 中国大陆"
"模仿游戏 / The Imitation Game","2014","英国 / 美国"
"阴谋职场 第二季 / Inside Job Season 2","2022","美国"
"江湖菜馆 第三季","2022","中国大陆"
"虎豹小霸王 / Butch Cassidy and the Sundance Kid","1969","美国"
"伊尼舍林的报丧女妖 / The Banshees of Inisherin","2022","爱尔兰 / 英国 / 美国"
"英雄","2002","中国大陆 / 中国香港"
"满江红","2023","中国大陆"
"晒后假日 / Aftersun","2022","英国 / 美国"
"奇迹·笨小孩","2022","中国大陆"
"一个勺子","2014","中国大陆"
"葫芦兄弟","2008","中国大陆"
"西线无战事 / Im Westen nichts Neues","2022","德国 / 美国 / 英国"
"瑞克和莫蒂 第六季 / Rick and Morty Season 6","2022","美国"
"九品芝麻官","1994","中国香港"
"中国奇谭","2023","中国大陆"
"小妇人 / Little Women","2019","美国"
"勇敢者游戏2：再战巅峰 / Jumanji: The Next Level","2019","美国"
"三块广告牌 / Three Billboards Outside Ebbing, Missouri","2017","英国 / 美国"
"菜单 / The Menu","2022","美国"
"恐怖直播 / 더 테러 라이브","2013","韩国"
"请以你的名字呼唤我 / Call Me by Your Name","2017","意大利 / 法国 / 巴西 / 美国"
"再次出发之纽约遇见你 / Begin Again","2013","美国"
"不 / Nope","2022","美国 / 日本 / 加拿大"
"血战钢锯岭 / Hacksaw Ridge","2016","澳大利亚 / 美国"
"出租车司机 / Taxi Driver","1976","美国"
"人生第一次","2020","中国大陆"
"利刃出鞘2 / Glass Onion: A Knives Out Mystery","2022","美国"
"狩猎 / Jagten","2012","丹麦 / 瑞典"
"邋遢大王奇遇记","2012","中国大陆"
"喜羊羊与灰太狼之兔年顶呱呱","2011","中国大陆"
"三体","2022","中国大陆"
"绿皮书 / Green Book","2018","美国 / 中国大陆"
"阿凡达：水之道 / Avatar: The Way of Water","2022","美国"
"疯狂的石头","2006","中国大陆 / 中国香港"
"龙纹身的女孩 / The Girl with the Dragon Tattoo","2011","美国 / 瑞典"
"世界之战 / War of the Worlds","2005","美国"
"圆梦巨人 / The BFG","2016","美国 / 英国"
"拯救大兵瑞恩 / Saving Private Ryan","1998","美国"
"开心超人","2013","中国大陆"
"雾山五行","2016","中国大陆"
"射雕英雄传之东成西就 / 射鵰英雄傳之東成西就","1993","中国香港"
"长江七号","2008","中国大陆 / 中国香港"
"西游降魔篇","2013","中国大陆 / 中国香港"
"新喜剧之王","2019","中国大陆 / 中国香港"
"喜剧之王 / 喜劇之王","1999","中国香港"
"好莱坞往事 / Once Upon a Time... in Hollywood","2019","美国 / 英国 / 中国大陆"
"致命魔术 / The Prestige","2006","英国 / 美国"
"棒！少年","2020","中国大陆"
"辛亥革命","2011","中国大陆 / 中国香港"
"乔乔的异想世界 / Jojo Rabbit","2019","美国 / 捷克 / 新西兰"
"妈妈！","2022","中国大陆"
"明日战记 / 明日戰記","2022","中国香港 / 中国大陆"
"11度青春之《老男孩》","2010","中国大陆"
"老男孩猛龙过江","2014","中国大陆"
"车四十四","2001","中国香港 / 美国"
"信号 / Signs","2008","澳大利亚"
"十二宫 / Zodiac","2007","美国"
"银河护卫队：假日特辑 / The Guardians of the Galaxy Holiday Special","2022","美国"
"调音师 / Andhadhun","2018","印度"
"白发魔女传之明月天国","2014","中国大陆"
"太平轮(上)","2014","中国大陆 / 中国香港"
"黑亚当 / Black Adam","2022","美国 / 加拿大 / 新西兰 / 匈牙利"
"成龙历险记 第一季 / Jackie Chan Adventures Season 1","2000","美国 / 中国香港"
"杀死比尔2 / Kill Bill: Vol. 2","2004","美国"
"杀死比尔：整个血腥事件 / Kill Bill: The Whole Bloody Affair","2006","美国"
"狗命","2019","中国大陆"
"高山下的花环","1984","中国大陆"
"Hello！树先生","2011","中国大陆"
"疯狂动物城+ / Zootopia+","2022","美国"
"万神殿 第一季 / Pantheon Season 1","2022","美国"
"记忆碎片 / Memento","2000","美国"
"爱情神话","2021","中国大陆"
"搏击俱乐部 / Fight Club","1999","美国"
"哪吒闹海","1979","中国大陆"
"大闹天宫","1961","中国大陆"
"七宗罪 / Se7en","1995","美国"
"彗星来的那一夜 / Coherence","2013","美国 / 英国"
"杀死比尔 / Kill Bill: Vol. 1","2003","美国"
"海上钢琴师 / La leggenda del pianista sull'oceano","1998","意大利"
"白日梦想家 / The Secret Life of Walter Mitty","2013","美国 / 英国"
"新神榜：杨戬","2022","中国大陆"
"教父 / The Godfather","1972","美国"
"伴我同行 / Stand by Me","1986","美国"
"暗杀 / 암살","2015","韩国"
"至暗时刻 / Darkest Hour","2017","英国 / 美国"
"低俗小说 / Pulp Fiction","1994","美国"
"吉尔莫·德尔·托罗的奇思妙想 / Guillermo del Toro's Cabinet of Curiosities","2022","美国 / 墨西哥"
"毕业生 / The Graduate","1967","美国"
"分手的决心 / 헤어질 결심","2022","韩国"
"新木乃伊 / The Mummy","2017","美国 / 中国大陆 / 日本"
"新少林寺","2011","中国大陆 / 中国香港"
"冰封：重生之门","2014","中国大陆"
"黄飞鸿之英雄有梦","2014","中国大陆 / 中国香港 / 英国"
"一个人的武林","2014","中国大陆 / 中国香港"
"光年正传 / Lightyear","2022","美国"
"杀人回忆 / 살인의 추억","2003","韩国"
"麦兜故事 / 麥兜故事","2001","中国香港"
"赤壁(下)","2009","中国大陆 / 中国香港 / 日本 / 中国台湾 / 韩国"
"孔子","2010","中国大陆 / 中国香港"
"鸿门宴传奇","2011","中国大陆 / 中国香港"
"暗夜狼人 / Werewolf by Night","2022","美国"
"外星也难民：万圣节特别篇 / A Sinister Halloween Scary Opposites Solar Special","2022","美国"
"胶囊计划","2022","中国大陆"
"速度与激情：特别行动 / Fast & Furious Presents: Hobbs & Shaw","2019","美国 / 日本"
"寄生虫 / 기생충","2019","韩国"
"憨豆的黄金周 / Mr. Bean's Holiday","2007","英国 / 法国 / 德国"
"赛博朋克：边缘行者 第一季 / Cyberpunk: Edgerunners Season 1","2022","日本 / 美国 / 波兰"
"子弹列车 / Bullet Train","2022","美国 / 日本"
"社交网络 / The Social Network","2010","美国"
"咒术回战0 / 劇場版 呪術廻戦 0","2021","日本"
"头文字D / 頭文字D","2005","中国香港 / 日本"
"捉妖记","2015","中国大陆 / 中国香港"
"青春派","2013","中国大陆"
"雷神4：爱与雷霆 / Thor: Love and Thunder","2022","澳大利亚 / 美国"
"芳华","2017","中国大陆"
"人生大事","2022","中国大陆 / 中国香港"
"神探大战 / 神探大戰","2022","中国香港 / 中国大陆"
"追凶者也","2016","中国大陆"
"大师兄 / 大師兄","2018","中国大陆 / 中国香港"
"甲方乙方","1997","中国大陆"
"心迷宫","2014","中国大陆"
"绿巨人浩克 / Hulk","2003","美国"
"卧虎藏龙 / 臥虎藏龍","2000","中国台湾 / 中国香港 / 美国 / 中国大陆"
"过春天","2018","中国大陆"
"唐伯虎点秋香 / 唐伯虎點秋香","1993","中国香港"
"丁丁历险记 第三季 / The Adventures of Tintin Season 3","1992","法国 / 加拿大 / 比利时 / 美国"
"丁丁历险记 第二季 / The Adventures of Tintin Season 2","1992","法国 / 加拿大 / 比利时 / 美国"
"丁丁历险记 第一季 / The Adventures of Tintin Season 1","1991","法国 / 加拿大 / 比利时 / 美国"
"暗夜博士：莫比亚斯 / Morbius","2022","美国"
"辅助轮 / Training Wheels","2013","美国"
"布达佩斯大饭店 / The Grand Budapest Hotel","2014","美国 / 德国 / 英国"
"爱乐之城 / La La Land","2016","美国"
"小黄人大眼萌：神偷奶爸前传 / Minions: The Rise of Gru","2022","美国"
"这个杀手不太冷静","2022","中国大陆"
"李茶的姑妈","2018","中国大陆"
"独行月球","2022","中国大陆"
"关机一小时","2015","中国大陆"
"肤色 / Skin","2018","美国"
"城堡岩 第二季 / Castle Rock Season 2","2019","美国"
"校合唱团的秘密 / Mindenki","2016","匈牙利"
"婚纱照","2013","中国大陆"
"嘉年华","2017","中国大陆 / 法国"
"醉美人生","2015","中国大陆"
"星之彩 / Color Out of Space","2019","葡萄牙 / 美国 / 马来西亚"
"我不是潘金莲","2016","中国大陆"
"智取威虎山","2014","中国大陆 / 中国香港"
"背靠背，脸对脸","1994","中国大陆 / 中国香港"
"自杀热线 / The Phone Call","2013","英国"
"猫和老鼠 / Tom and Jerry","1965","美国"
"红楼梦","1987","中国大陆"
"西游记","1986","中国大陆"
"犬夜叉","2000","日本"
"生门","2016","中国大陆"
"宵禁 / Curfew","2012","美国"
"大红灯笼高高挂","1991","中国大陆 / 中国香港 / 中国台湾"
"外星也难民 第三季 / Solar Opposites Season 3","2022","美国"
"捉迷藏","2016","中国大陆"
"乐高忍者：旋风术大师 第十季 / Ninjago: Masters of Spinjitzu Season 10","2019","美国"
"乐高忍者：旋风术大师 第九季 / Ninjago: Masters of Spinjitzu Season 9","2018","美国"
"乐高忍者：旋风术大师 第八季 / Ninjago: Masters of Spinjitzu Season 8","2018","美国"
"乐高忍者：旋风术大师 第七季 / Ninjago: Masters of Spinjitzu Season 7","2017","美国"
"乐高忍者：旋风术大师 第六季 / Ninjago: Masters of Spinjitzu Season 6","2016","美国"
"乐高忍者：旋风术大师 第五季 / Ninjago: Masters of Spinjitzu Season 5","2015","美国"
"乐高忍者：旋风术大师 第四季 / Ninjago: Masters of Spinjitzu Season 4","2015","美国"
"乐高忍者：旋风术大师 第三季 / Ninjago: Masters of Spinjitzu Season 3","2014","美国"
"乐高忍者：旋风术大师 第二季 / Ninjago: Masters of Spinjitzu Season 2","2012","美国"
"乐高忍者：旋风术大师 第一季 / Ninjago: Masters of Spinjitzu Season 1","2011","美国"
"一代宗师 / 一代宗師","2013","中国大陆 / 中国香港"
"奇异博士2：疯狂多元宇宙 / Doctor Strange in the Multiverse of Madness","2022","美国"
"赤壁(上)","2008","中国大陆 / 中国香港 / 中国台湾 / 日本 / 韩国"
"满城尽带黄金甲","2006","中国大陆 / 中国香港"
"一条狗的使命2 / A Dog's Journey","2019","中国大陆 / 印度 / 中国香港 / 美国"
"一条狗的使命 / A Dog's Purpose","2017","美国"
"侏罗纪世界3 / Jurassic World: Dominion","2022","美国 / 马耳他"
"冰雪奇缘2 / Frozen II","2019","美国"
"金刚 / King Kong","2005","新西兰 / 美国 / 德国"
"八恶人 / The Hateful Eight","2015","美国"
"詹姆斯·卡梅隆的科幻故事 / Story of Science Fiction","2018","美国"
"新世纪福音战士剧场版：死与新生 / 新世紀エヴァンゲリオン劇場版 シト新生","1997","日本"
"新世纪福音战士剧场版：复兴 / 新世紀エヴァンゲリオン劇場版 DEATH(TRUE)²/Air/まごころを、君に","1998","日本"
"新世纪福音战士 2003重制版 / 新世紀エヴァンゲリオン リニューアル版","2003","日本"
"公牛历险记 / Ferdinand","2017","美国"
"和平使者 第一季 / Peacemaker Season 1","2022","美国"
"大神偷卡门 第三季 / Carmen Sandiego Season 3","2020","美国"
"敦刻尔克 / Dunkirk","2017","英国 / 法国 / 美国 / 荷兰"
"了不起的盖茨比 / The Great Gatsby","2013","澳大利亚 / 美国"
"坏蛋联盟 / The Bad Guys","2022","美国"
"失控快递 / The Courier","2019","英国"
"怪奇物语 第四季 / Stranger Things Season 4","2022","美国"
"瞬息全宇宙 / Everything Everywhere All at Once","2022","美国"
"爱，死亡和机器人 第三季 / Love, Death & Robots Season 3","2022","美国"
"茶馆","1982","中国大陆"
"泰山归来：险战丛林 / The Legend of Tarzan","2016","英国 / 加拿大 / 美国 / 澳大利亚"
"神奇动物：邓布利多之谜 / Fantastic Beasts: The Secrets of Dumbledore","2022","英国 / 美国"
"大神偷卡门 第二季 / Carmen Sandiego Season 2","2019","美国"
"蜘蛛侠 第一季 / Spider-Man Season 1","2017","美国"
"超级蜘蛛侠 / Spider-Man Unlimited","1999","美国"
"终极蜘蛛侠 第一季 / Ultimate Spider-Man Season 1","2012","美国"
"高米迪 / Gormiti: The Lords of Nature Return!","2008","意大利"
"成龙历险记 第二季 / Jackie Chan Adventures Season 2","2001","美国 / 中国香港"
"少年骇客：全面进化 第一季 / Ben 10: Omniverse Season 1","2012","美国"
"变身侠阿奔 第一季 / Ben 10 Season 1","2005","美国"
"神秘海域 / Uncharted","2022","美国"
"华尔街之狼 / The Wolf of Wall Street","2013","美国"
"边境杀手 / Sicario","2015","美国 / 墨西哥 / 中国香港"
"边城","1984","中国大陆"
"阿Q正传","1981","中国大陆"
"大神偷卡门 第一季 / Carmen Sandiego Season 1","2019","美国"
"六拳一气 / Seis Manos","2019","美国"
"月光骑士 / Moon Knight","2022","美国"
"恐怖游轮 / Triangle","2009","英国 / 澳大利亚"
"林中小屋 / The Cabin in the Woods","2011","加拿大 / 美国"
"虫虫危机 / A Bug's Life","1998","美国"
"回到未来 / Back to the Future","1985","美国"
"假如…？ 第一季 / What If...? Season 1","2021","美国"
"黑袍纠察队：劣迹 / The Boys Presents: Diabolical","2022","美国"
"青春变形记 / Turning Red","2022","美国"
"熊出没之熊心归来","2016","中国大陆"
"熊出没·变形记","2018","中国大陆"
"神兵小将","2009","中国大陆"
"熊出没之年货","2014","中国大陆"
"熊出没之过年","2013","中国大陆"
"熊出没·原始时代","2019","中国大陆"
"动物特工局","2019","中国大陆 / 法国"
"降世神通：科拉传奇 第四季 / The Legend of Korra Season 4","2014","美国"
"精灵王座","2016","中国大陆"
"山水情","1988","中国大陆"
"白月儿","2021","中国大陆"
"新蝙蝠侠 / The Batman","2022","美国"
"降世神通：科拉传奇 第三季 / The Legend of Korra Season 3","2014","美国"
"亚当计划 / The Adam Project","2022","美国"
"降世神通：科拉传奇 第二季 / The Legend of Korra Season 2","2013","美国 / 韩国 / 日本"
"降世神通：科拉传奇 第一季 / The Legend of Korra Season 1","2012","美国"
"睡沙发的人","2017","中国大陆"
"棋魂 / ヒカルの碁","2001","日本"
"无耻混蛋 / Inglourious Basterds","2009","德国 / 美国"
"咒术回战 第一季 / 呪術廻戦","2020","日本"
"格林 第三季 / Grimm Season 3","2013","美国"
"格林 第二季 / Grimm Season 2","2012","美国"
"格林 第一季 / Grimm Season 1","2011","美国"
"太极2：英雄崛起","2012","中国大陆"
"太极1：从零开始","2012","中国大陆"
"看不见的客人 / Contratiempo","2016","西班牙"
"降世神通 第三季 / Avatar Season 3 : The Fire Volume Season 3","2007","美国"
"战栗黑洞 / In the Mouth of Madness","1994","美国"
"王牌特工：源起 / The King's Man","2021","英国 / 美国"
"降世神通 第二季 / Avatar Season 2 : The Earth Volume Season 2","2006","美国"
"解救吾先生","2015","中国大陆"
"白日焰火","2014","中国大陆"
"亲爱的","2014","中国大陆 / 中国香港"
"失孤","2015","中国大陆 / 中国香港"
"利刃出鞘 / Knives Out","2019","美国"
"大话西游之大圣娶亲 / 西遊記大結局之仙履奇緣","1995","中国香港 / 中国大陆"
"被解救的姜戈 / Django Unchained","2012","美国"
"星际穿越 / Interstellar","2014","美国 / 英国 / 加拿大"
